ObjectGUID;ObjectId;dGamma;Alfa;Beta;C3;IsCalc;C3SubMid;C3SubMidSqr;C3T
{0867D5AF-214B-4F5C-85BE-3025E78BD622};27;36;0,09;21,3;1,917;»—“»Õ¿;0,114839444;0,013188098;0,19690268
{0B4F29D0-E3DD-4198-B11B-A88F37AC1933};29;54;0,33;8,7;2,871;»—“»Õ¿;1,068839444;1,142417758;1,83262251
{1B1D6211-92FE-4366-BD0F-13B0139F255A};42;171;0,44;24,09;10,5996;ÀŒ∆‹;0;0;0
{295C20E9-68F7-4E87-84C9-F9246BA138BB};24;9;0,13;4,3;0,559;»—“»Õ¿;-1,243160556;1,545448167;-2,131511921
{374FDE05-B848-4C48-8EDB-F71B2F8B7D81};39;144;0,18;10,5;1,89;»—“»Õ¿;0,087839444;0,007715768;0,150608722
{42F3924E-0395-4847-ABC6-CAB1F2E06693};37;126;0,059;31,7;1,8703;»—“»Õ¿;0,068139444;0,004642984;0,116831279
{465068E6-60A2-4D58-AB97-296D2538229C};32;81;0,05;35,6;1,78;»—“»Õ¿;-0,022160556;0,00049109;-0,037996289
{6A6D7B03-2331-4950-AC48-B04C9F771169};35;108;0,176;13,3;2,3408;»—“»Õ¿;0,538639444;0,290132451;0,923546353
{8ED2565C-9F72-4C24-BE5D-421F4E1CDA20};31;72;0,106;13,68;1,45008;»—“»Õ¿;-0,352080556;0,123960718;-0,603674158
{9933E3B6-E8A6-45FF-B1CF-686BFFF96CF2};26;27;0,044;35,2;1,5488;»—“»Õ¿;-0,253360556;0,064191571;-0,434409733
{9A3524A4-1F4D-4015-9138-E87F28C3392B};36;117;0,054;28,9;1,5606;»—“»Õ¿;-0,241560556;0,058351502;-0,414177559
{A75C4202-6601-4DE3-AD13-8583DC15A8F8};40;153;0,06;27,83;1,6698;»—“»Õ¿;-0,132360556;0,017519317;-0,22694422
{C19E72D2-8F52-42B8-B572-D88632E6EA8A};33;90;0,06;26;1,56;»—“»Õ¿;-0,242160556;0,058641735;-0,415206313
{CE9B3EFB-516B-45B0-88A9-539BA3473A70};38;135;0,076;24,47;1,85972;»—“»Õ¿;0,057559444;0,00331309;0,098690906
{D7FD836C-DE3A-4290-8012-87E4B1E198DC};28;45;0,053;45,47;2,40991;»—“»Õ¿;0,607749444;0,369359387;1,042041738
{E1893ACF-6C8E-4AAD-9BA1-69076C46CD44};34;99;0,32;7,66;2,4512;»—“»Õ¿;0,649039444;0,4212522;1,112837201
{EC5F9B7A-EBF1-48B0-AE72-A21C2A928403};41;162;0,152;16,4;2,4928;»—“»Õ¿;0,690639444;0,476982842;1,184164187
{F53CF76C-1CF4-4E16-8A28-DDA046B79974};30;63;0,067;11,64;0,77988;»—“»Õ¿;-1,022280556;1,045057534;-1,752793057
{FB5A7C87-521D-46CA-A7EC-12A93152DB83};25;18;0,12;11,9;1,428;»—“»Õ¿;-0,374160556;0,139996121;-0,641532327
