ObjectGUID;ObjectId;Tetta;Lambda;N
{0D2BC4BA-ABC4-41E4-8140-D799012AE7F8};245;39;0,005;0,514735349
{135D4894-EBF2-40C1-924B-B2567AF04A26};260;84;0,898;0,508508359
{183E8A06-864C-46FD-A46A-24C2A2D3AC16};240;24;0,483;0,519453941
{18877F04-9A2B-48A6-A9DE-F12442146F61};237;15;0,764;0,518364511
{1C2F7102-4006-45BE-BB30-A53EC7F19E3F};236;12;0,843;0,518775084
{227FA5B9-E716-42BF-B4DA-609A6D871E79};261;87;0,948;0,508654675
{2C8A42F7-1DD5-439F-8E01-74036ABA0DDE};242;30;0,283;0,516555366
{323EAD39-08BD-48F8-A387-B12D8E1248DE};234;6;0,958;0,512174768
{3C30BF52-7260-4645-AB93-79DAFF91431D};246;42;0,08;0,513230437
{3E518A22-581D-4B33-9A1B-A478C1892006};253;63;0,549;0,509143411
{42494C75-BC48-43EF-ABE0-F7CB1B64FD8E};250;54;0,371;0,510869288
{5AA1F642-37BA-4D46-9021-68D086CB6F28};252;60;0,49;0,513422819
{5BBD53D6-3E84-4C99-A1A5-289A22A1D4E0};251;57;0,433;0,510988244
{5CF89DDE-33B1-4847-B4F2-6BE1D46E0D5E};257;75;0,752;0,51028042
{60AA8218-659C-48B1-AB8C-754B199F7E87};255;69;0,654;0,508762283
{645805B0-D1CD-42C6-BF34-2CC767999C23};235;9;0,9106;0,529513711
{65CB8BAB-90C0-4914-AE05-A945A90FAFBF};259;81;0,85;0,505623142
{9312B5C9-9F21-4728-8F76-C53CB2C9905C};233;3;0,998;2,740068432
{934877BB-FE78-4E85-A360-F25C3E1ED3D3};258;78;0,801;0,508474574
{BB126401-6BF3-4955-ADFA-D15AE633570C};249;51;0,305;0,511102115
{C1D476B1-2264-4DB2-9941-F5FE536CBE57};238;18;0,677;0,521301462
{C254B62F-4F0D-4BD6-8B2E-2808EAB1EC6E};256;72;0,706;0,504427309
{C8DACA74-0804-4CAC-B9BC-3B6AFE8DF2E6};239;21;0,581;0,519068212
{CB75DF5B-E096-4461-BB65-17B4E278A259};243;33;0,186;0,515331169
{D55C484B-65CA-4040-9407-6AD3085BEEA1};241;27;0,382;0,517287773
{DED5DEED-D235-4F87-900B-193D8AC17E3B};254;66;0,602;0,50976215
{F0AB2509-2A40-4314-9F56-4F19587ADF2F};248;48;0,234;0,512329816
{F793A548-ADE4-48E8-87D4-FC2B179483B1};244;36;0,095;0,516708096
{FAED532B-085A-4927-8808-1CBBB1C926F6};247;45;0,159;0,513094739
